source_id,citation_key,title,author_or_institution,publication_year,access_date,country_or_region,topic,evidence_type,population,indicator,time_period,unit,source_url,summary,comparability_notes,status
R4S001,bls2023oneperson2534,"Table 3600. Consumer units of one person by age of reference person: Average annual expenditures and characteristics, Consumer Expenditure Surveys, 2021-2022",U.S. Bureau of Labor Statistics,2023,2026-07-20,United States,young single income and expenditure,official survey table,one-person consumer units age 25-34,income expenditures tenure earners,2021-2022,USD per consumer unit per year,https://www.bls.gov/cex/tables/cross-tab/mean/cu-size-by-age-1-person-2021-2022.pdf,"Direct near-prototype table for age 25-34 one-person consumer units.","Population means rather than medians; includes some non-employed units; pension and Social Security are included as expenditures.",analyzed-round-04
R4S002,bls2026cetableguide,Consumer Expenditure Surveys Tables Getting Started Guide,U.S. Bureau of Labor Statistics,2026,2026-07-20,United States,consumer expenditure table interpretation,official methodology,consumer units,table units conditional means and derivations,current guide,methodological guidance,https://www.bls.gov/cex/tables-getting-started-guide.htm,"Explains CE table group definitions and how to derive conditional means from aggregate means and participation shares.","Derived conditional values remain means and inherit survey sampling and classification limitations.",analyzed-round-04
R4S003,census2024familiesliving,Nearly Two-Thirds of U.S. Households are Family Households,U.S. Census Bureau,2024,2026-07-20,United States,living arrangements,official survey release,adults age 25-34,living in parental home,2024,percent,https://www.census.gov/newsroom/press-releases/2024/families-and-living-arrangements.html,"Provides current living-arrangement estimate for adults age 25-34.","Not restricted to single employed adults and does not value in-kind housing support.",analyzed-round-04
R4S004,fed2026shed,Economic Well-Being of U.S. Households in 2025,Board of Governors of the Federal Reserve System,2026,2026-07-20,United States,young adult family support and liquidity,official survey report,adults age 18-29,outside-household help housing help emergency savings,2025,percent self-report,https://www.federalreserve.gov/publications/2026-economic-well-being-of-us-households-in-2025-executive-summary.htm,"Measures family help and emergency preparedness among young adults.","Age band differs from the 25-34 archetype; respondent-level self-report is not a full household account.",analyzed-round-04
R4S005,rosenzweigzhang2019coresidence,"Housing Prices, Inter-generational Co-residence, and Excess Savings by the Young",Mark R. Rosenzweig and Junsen Zhang,2019,2026-07-20,China,house prices co-residence and youth saving,working paper,young adults and parents,co-residence saving and housing-price counterfactual,historical survey period,model and percentage effects,https://doi.org/10.3386/w26209,"Studies how housing prices affect intergenerational co-residence and saving by young people.","Mechanism and counterfactual evidence; not a current nationwide saving-rate estimate.",analyzed-round-04
R4S006,abs2025personalincome,"Personal Income in Australia, 2022-23",Australian Bureau of Statistics,2025,2026-07-20,Australia,young adult personal income,official administrative statistics,income earners age 25-34,total personal income by age and sex,2022-2023,AUD per person per year,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/personal-income-australia/2022-23,"Provides median personal income for the target age band.","Not after-tax household disposable income and not restricted to single childless workers.",analyzed-round-04
R4S007,abs2022housingcensus,Housing: Census,Australian Bureau of Statistics,2022,2026-07-20,Australia,housing tenure,official census release,occupied private dwellings,owned outright owned with mortgage rented,2021,percent of dwellings,https://www.abs.gov.au/statistics/people/housing/housing-census/latest-release,"Provides national housing-tenure context.","All ages and household types; cannot represent the youth archetype directly.",analyzed-round-04
R4S008,chiaerol2022younghousing,"Young Australians living with parents: free and pay board as popular housing tenure choices",Jason Chia and Isil Erol,2022,2026-07-20,Australia,young adult housing and co-residence,journal article,young people age 16-34,housing tenure parental co-residence and board,2017,percent and regression estimates,https://doi.org/10.1007/s10901-021-09911-3,"Uses HILDA to distinguish renting, ownership, rent-free parental co-residence and paying board.","Age range is wider than 25-34 and the reference year is older; not restricted to single employed adults.",analyzed-round-04
R4S009,nbs2026income2025,2025年居民收入和消费支出情况,国家统计局,2026,2026-07-20,China,national household income and consumption,official survey release,residents and resident households,per-capita disposable income and consumption,2025,CNY per person per year,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html,"Provides current national and urban-rural aggregate calibration.","National per-capita aggregates cannot be assigned to the young single archetype.",context-only-round-04
R4S010,chfs2026data2021,2021年中国家庭金融调查数据公开发布,中国家庭金融调查与研究中心,2026,2026-07-20,China,household finance microdata,data release,households and members,employment income expenditure housing assets debt and social security,2021,household and person records,https://chfs.swufe.edu.cn/info/1041/4051.htm,"Identifies the microdata source capable of constructing the China archetype.","Actual estimates require data access codebook variable mapping weights and missing-data treatment.",data-required-round-04
