concept,preferred_variable,alternate_candidates,file,periodicity,required,verification_status,notes
interview_id,NEWID,,FMLI/interview files,interview,yes,official-current,"Links records within an interview; remove last digit only for CU rotation analysis"
focal_age,AGE_REF,,FMLI,interview,yes,current-dictionary-required,"Age of reference person; Y1 requires 25-34"
economic_unit_size,FAM_SIZE,,FMLI,interview,yes,current-dictionary-required,"Y1 requires one-person consumer unit"
earner_count,NO_EARNR,,FMLI,interview,yes,current-dictionary-required,"Y1 requires at least one earner"
housing_tenure,CUTENURE,,FMLI,interview,yes,current-dictionary-required,"Historical codes 1 mortgage owner; 2 outright; 3 mortgage unknown; 4 renter; 5 no cash rent; 6 student housing"
final_weight,FINLWT21,,FMLI,interview,yes,official-current,"Divide by four and multiply by MO_SCOPE/3 for annual population"
replicate_weights,WTREP01-WTREP44,,FMLI,interview,yes,official-current,"Ordinary BRR not sufficient for imputed-income uncertainty"
interview_year,QINTRVYR,,FMLI,interview,yes,official-current,"Used to select target year and following Q1"
interview_month,QINTRVMO,,FMLI,interview,yes,official-current,"Used to construct MO_SCOPE"
before_tax_income,FINCBTXM,FINCBTAX|FINCBT,FMLI/ITBI,annual,yes,current-dictionary-and-definition-required,"Twelve-month income; do not sum across interviews"
after_tax_income,FINCATXM,FINCATAX|FINCAT,FMLI/NTAXI,annual,yes-for-2023,current-dictionary-and-definition-required,"Unavailable in 2024 CE without external tax model"
wages_salaries,WAGRX,WAGRXM|WAGRSALX,FMLI/ITBI,annual,no,current-dictionary-required,"Resolve against current dictionary and detailed income UCCs"
total_expenditure,TOTEXPCQ/TOTEXPPQ,,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"CQ/PQ natural-year construction; integrated CE may use both surveys"
housing_expenditure,HOUSCQ/HOUSPQ,,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"Must separate shelter utilities operations and furnishings for mechanism analysis"
food_expenditure,FOODCQ/FOODPQ,,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"Formal CE tables may select Diary source for some UCCs"
transport_expenditure,TRANCQ/TRANPQ,,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"Vehicle purchase is net outlay and needs separate sensitivity analysis"
health_expenditure,HEALTHCQ/HEALTHPQ,HLTHCQ/HLTHPQ,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"Insurance and out-of-pocket components should be separated"
pensions_social_security,PENSIONCQ/PENSIONPQ,PENSCQ/PENSPQ,FMLI/MTBI,quarter,yes,current-dictionary-and-UCC-required,"Separate personal retirement saving from Social Security contributions"
mortgage_principal,to-be-resolved,,MOR/MTBI,monthly-or-quarterly,yes-for-capital-formation,current-dictionary-required,"Not pure consumption; add to broad capital formation"
liquid_assets,to-be-resolved,,FMLI/assets files,annual,yes-for-resilience,current-dictionary-required,"Report zero holding and weighted quantiles"
family_external_support,to-be-resolved,,FMLI/MEMI/gift files,annual-or-quarterly,no,current-dictionary-required,"CE one-person CU may still receive support from outside the CU"
income_imputation,ITII,,ITII,imputation-iteration,yes-for-inference,official-current,"Required for valid inference on imputed income"
tax_unit,TAXID,,NTAXI/FMLI,annual,yes-for-after-tax,official-current,"Available to support tax estimation; 2024 liabilities not produced by BLS"
