source_id,citation_key,title,author_or_institution,publication_year,access_date,country_or_region,topic,evidence_type,population,indicator,time_period,unit,source_url,summary,comparability_notes,status
S001,oecd2013icwframework,"OECD Framework for Statistics on the Distribution of Household Income, Consumption and Wealth",OECD,2013,2026-07-20,cross-national,income-consumption-wealth measurement,statistical framework,private households,income consumption wealth,cross-sectional framework,household/equivalised,https://doi.org/10.1787/9789264194830-en,"Joint framework for micro-level income, consumption and wealth statistics.","Foundational; use with 2024 handbook for updated distributional guidance.",collected-not-analyzed
S002,oecd2024distributionhandbook,OECD Handbook on the Compilation of Household Distributional Results on Income Consumption and Saving in Line with National Accounts Totals,OECD,2024,2026-07-20,cross-national,distributional national accounts,methodological handbook,private households,adjusted disposable income actual consumption saving,SNA 2008,household/equivalised,https://doi.org/10.1787/5a3b9119-en,"Guidance for aligning micro distributions with national accounts totals.","Includes social transfers in kind; household is primary unit.",collected-not-analyzed
S003,zwijnenburg2021distribution,"Distribution of household income, consumption and saving in line with national accounts","Zwijnenburg, Bournot, Grahn and Guidetti",2021,2026-07-20,cross-national,distributional national accounts,working paper,private households,income consumption saving distributions,2020 collection round,household groups,https://doi.org/10.1787/615c9eec-en,"Methodology and results from the OECD 2020 collection round.","Country and year coverage must be checked before comparison.",collected-not-analyzed
S004,lis2025disposablemethod,Disposable Household Income: Methodology,LIS Cross-National Data Center,2025,2026-07-20,cross-national,harmonised disposable income,database methodology,households and persons,disposable household income,current methodology,equivalised household income,https://www.lisdatacenter.org/data-access/key-figures/methods/disposable/,"Defines LIS disposable household income and exclusions.","Excludes imputed service flows from housing and durables in key measure.",collected-not-analyzed
S005,lis2024database,Luxembourg Income Study Database,LIS Cross-National Data Center,2024,2026-07-20,cross-national,harmonised income microdata,microdata database,households and persons,labour capital pension transfers taxes expenditures,multiple waves,household/person,https://www.lisdatacenter.org/our-data/lis-database/,"Harmonised income and demographic microdata across countries.","Availability and source survey differ by country and wave.",collected-not-analyzed
S006,lws2024database,Luxembourg Wealth Study Database,LIS Cross-National Data Center,2024,2026-07-20,cross-national,harmonised wealth microdata,microdata database,households and persons,assets liabilities income expenditures,multiple waves,household/person,https://www.lisdatacenter.org/our-data/lws-database/,"Cross-national harmonised household balance-sheet database.","Income reference year may differ from wealth reference date.",collected-not-analyzed
S007,oecd2018taxsavings,Taxation of Household Savings,OECD,2018,2026-07-20,OECD and partner countries,taxation of saving vehicles,policy report,households,marginal effective tax rates by asset,circa 2016,asset-level tax rate,https://doi.org/10.1787/9789264289536-en,"Compares taxation of deposits, bonds, shares, pensions and housing.","Tax rules require current-country updates.",collected-not-analyzed
S008,census2025income2024,Income in the United States: 2024,"Kollar and Scherer, U.S. Census Bureau",2025,2026-07-20,United States,income distribution,official survey report,households persons workers,money income earnings inequality post-tax estimates,2024,USD/household/person,https://www.census.gov/library/publications/2025/demo/p60-286.html,"CPS ASEC income and inequality estimates.","Money income differs from BEA and adjusted disposable-income concepts.",collected-not-analyzed
S009,bls2025ce2024,Consumer Expenditures—2024,U.S. Bureau of Labor Statistics,2025,2026-07-20,United States,household expenditure,official survey release,consumer units,income expenditures spending categories,2024,USD/consumer unit/year,https://www.bls.gov/news.release/cesan.htm,"Annual income and expenditure results by household characteristics and quintile.","Consumer unit differs from household; many headline values are means.",collected-not-analyzed
S010,bea2026distribution,Distribution of Personal Income,U.S. Bureau of Economic Analysis,2026,2026-07-20,United States,distributional national accounts,official experimental statistics,households,personal income disposable income consumption saving,2004-2024,USD/household/distribution group,https://www.bea.gov/data/special-topics/distribution-of-personal-income,"Distributes NIPA personal income totals across households.","2024 values provisional or experimental; definitions differ from surveys.",collected-not-analyzed
